K02452	gspC
K02453	gspD
K02454 gspE	
K02455	gspF
K02456	gspG
K02457	gspH
K02458 gspI	
K02459 gspJ	
K02460 gspK	
K02461 gspL	
K02462 gspM	
K02464 gspO	
K02465	gspS
K03070 secA	
K03071 secB	
K03072 secD	
K03073 secE	
K03074 secF	
K03075 secG	
K03076 secY	
K03106 ffh	
K03110 ftsY	
K03149 virB1	
K03195 virB10	
K03196 virB11	
K03197 virB2	
K03198 virB3	
K03199 virB4	
K03200 virB5	
K03201 virB6	
K03202 virB7	
K03203 virB8	
K03204 virB9	
K03205 virD4	
K03210 yajC	
K03217 yidC	
K03219	yscC
K03221	yscF
K03222	yscJ
K03223	yscL
K03224	yscN
K03225	yscQ
K03226	yscR
K03227	yscS
K03228	yscT
K03229	yscU
K03230	yscV
K04056	yscO
K04057	yscP
K04058	yscW
K04059	yscX
K11003	HlyD
K11004	HylB
K11016 shlA	
K11017 shlB	
K11028 vacA	
K11891 icmF	
K11892 dotU	
K11903 hcp	
K11904 vgrG	
K11907 clpV	
K11912 ppkA	
K11913 fha1	
K11915 ppA	
K11960 lip	
K12257 secDF	
K12340	tolC
K12341 yadA	
K12342 yadBC	
K13301 secM	
